index,state,state-id,amount,,long,lat
1,ANDAMAN & NICOBAR ,AN,"INR 170,369",,92.5,10.7449
2,ANDHRA PRADESH,AP,"INR 3,449,882",,79.74,15.9129
3,ARUNACHAL PRADESH,AR,"INR 105,675",,94.7278,28.218
4,ASSAM,AS,"INR 1,090,886",,92.9376,26.2006
5,BIHAR,BR,"INR 1,510,144",,85.2722,25.9644
6,CHANDIGARH,CH,"INR 223,991",,76.7794,30.7333
7,CHHATTISGARH,CG,"INR 600,886",,81.8661,21.2787
8,DADRA AND NAGAR,DH,"INR 50,154",,73.0619,20.1809
9,DELHI,DL,"INR 4,660,999",,77.1025,28.7041
10,GOA,GA,"INR 674,741",,74.124,15.2993
11,GURAJAT,GJ,"INR 2,935,107",,71.5724,22.6708
12,HARYANA,HR,"INR 3,022,603",,76.0856,29.0588
13,HIMACHAL PRADESH,HP,"INR 545,260",,77.5619,32.1024
14,JAMMU & KASHMIR,JK,"INR 488,998",,75.3412,33.2778
15,JHARKHAND,JH,"INR 982,008",,85.2722,23.6913
16,KARNATAKA,KA,"INR 11,044,974",,75.7139,15.3173
17,KERALA,KL,"INR 4,092,798",,76.6413,10.1632
18,LADAKH,LA,"INR 38,993",,77.5619,34.2268
19,LAKSHADWEEP,LD,"INR 3,175",,72.64,10.57
20,MADHYA PRADESH,MP,"INR 1,690,393",,78.6569,22.9734
21,MAHARASHTRA,MH,"INR 14,053,669",,75.7139,19.7515
22,MANIPUR,MN,"INR 223,057",,93.9063,24.6637
23,MEGHALAYA,ML,"INR 125,922",,91.3662,25.467
24,MIZORAM,MZ,"INR 43,764",,92.9376,23.1645
25,NAGALAND,NL,"INR 148,081",,94.5624,26.1584
26,ODISHA,OR,"INR 1,471,677",,84.27,20.2376
27,PUDUCHERRY,PY,"INR 207,093",,79.8083,11.9416
28,PUNJAB,PB,"INR 1,280,637",,75.3412,31.1471
29,RAJASTHAN,RJ,"INR 1,871,846",,74.2179,27.0238
30,SIKKIM,SK,"INR 149,904",,88.3239,27.3516
31,TAMIL NADU,TN,"INR 6,923,420",,78.6569,11.1271
32,TELANGANA,TG,"INR 7,335,881",,79.775,17.0944
33,TRIPURA,TR,"INR 98,598",,91.6761,23.5639
34,UTTAR PRADESH,UP,"INR 7,234,697",,80.0982,27.5706
35,UTTARAKHAND,UK,"INR 1,039,484",,77.3411,31.4429
36,WEST BENGAL,WB,"INR 3,760,165",,87.855,22.9868
